Mass,Radius,Lambda,K2,C,Id
4.5111896705598305e-09,49.999,-1.822593147162763e+16,-1.1466013982765938e-33,1.3320676918648806e-10,1874
4.761715780229476e-09,49.999,9766870175059784.0,8.050818954725246e-34,1.4060432417818763e-10,1874
5.030556374410099e-09,49.999,-2.3942240106404644e+16,-2.5972405888653305e-33,1.4854267073246413e-10,1874
5.318713449163628e-09,49.999,7419248307556768.0,1.0633106631412537e-33,1.5705139586912715e-10,1874
5.627161549039238e-09,49.999,7731426556071058.0,1.4688378323114935e-33,1.6615927601752322e-10,1874
5.956825929087487e-09,49.999,-2.1966216969396342e+17,-5.547497480769782e-32,1.7589363218274385e-10,1874
6.308556505626525e-09,49.999,1.3248293622514808e+16,4.457355058642977e-33,1.8627956076176806e-10,1874
6.683097311018737e-09,49.999,-7.404268893308459e+16,-3.323826948205246e-32,1.973390316016652e-10,1874
7.081051327373814e-09,49.999,-2.564027454541097e+16,-1.537017036746324e-32,2.0908984960636866e-10,1874
7.502840833010224e-09,49.999,-8417836045754941.0,-6.73901507063438e-33,2.2154448384382018e-10,1874
7.948663792339549e-09,49.999,6490764142946950.0,6.934797210402179e-33,2.3470877982298894e-10,1874
8.418447405644917e-09,49.999,-1.4064593598833052e+16,-2.0024168942676018e-32,2.48580587908016e-10,1874
8.91180077687902e-09,49.999,-6765618190176888.0,-1.280566481063745e-32,2.6314836568917093e-10,1874
9.427969841967202e-09,49.999,-9064545420812330.0,-2.2735486454382754e-32,2.783898471021823e-10,1874
9.965799339030415e-09,49.999,-8281755032392390.0,-2.741260894033445e-32,2.942709194819419e-10,1874
1.0523708838212783e-08,49.999,-1.2681608675442078e+16,-5.511702465125371e-32,3.1074491576933637e-10,1874
1.1099692862938307e-08,49.999,1.1652788971518238e+16,6.610769097196762e-32,3.2775261809172526e-10,1874
1.1691359152308987e-08,49.999,-9965235686067786.0,-7.32959339168221e-32,3.4522338757809124e-10,1874
1.2296024415326988e-08,49.999,-8756453095871102.0,-8.287415401749411e-32,3.630779917973659e-10,1874
1.2910893852501258e-08,49.999,-6435660369219460.0,-7.773954026334589e-32,3.8123390568678005e-10,1874
1.3533359678346135e-08,49.999,2.623919569871672e+16,4.010937902734983e-31,3.9961412634806415e-10,1874
1.4161465351000927e-08,49.999,-1.2750553269140832e+16,-2.4453290020926604e-31,4.181608808567629e-10,1874
1.4794596755636666e-08,49.999,-1.1285838834073492e+16,-2.693498912585435e-31,4.368560355811183e-10,1874
1.5434479810137517e-08,49.999,3.4514213775676636e+16,1.0179472370438283e-30,4.5575055356237234e-10,1874
1.608658651293057e-08,49.999,-8044794543908766.0,-2.918110612164587e-31,4.750060124074746e-10,1874
1.6762078964510795e-08,49.999,-1.090749985964615e+16,-4.859951391316133e-31,4.949520075120644e-10,1874
1.7479569386821498e-08,49.999,-1.7462877648595448e+16,-9.594818345761692e-31,5.161381220534192e-10,1874
1.8252305848708393e-08,49.999,-2.2480312313823053e+17,-1.5334101240664912e-29,5.389555460673773e-10,1874
1.9084412378318507e-08,49.999,-3.5821234445334164e+16,-3.0535273040653172e-30,5.635260541867109e-10,1874
1.9979831238390842e-08,49.999,-8033495792202350.0,-8.612533947505314e-31,5.899660538606953e-10,1874
2.0942625677218936e-08,49.999,7552910755314497.0,1.0245597794749635e-30,6.183955250097308e-10,1874
2.197695849864565e-08,49.999,-1.0725870056246704e+16,-1.8515599136146808e-30,6.489373872384363e-10,1874
2.3087067148162925e-08,49.999,6955155103147634.0,1.5360945490704583e-30,6.817167641760105e-10,1874
2.427723614265086e-08,49.999,-1.3731730214147314e+16,-3.89931907236791e-30,7.168601693793643e-10,1874
